formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,compoundId,mappingFeatureId,overallFeatureQuality
1,C32H36O18,[M + Na]+,C32H36NaO18+,Shikimates and Phenylpropanoids,0.996,Phenylpropanoids (C6-C3),0.996,Cinnamic acids and derivatives,0.996,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Alcohols and polyols,0.989,Cyclic alcohols and derivatives,0.994,Quinic acids and derivatives,0.997,"Organic compounds; Lipids and lipid-like molecules; Styrenes; Coumaric acids and derivatives; Alkyl aryl ethers; Alcohols and polyols; Phenols; Catechols; Anisoles; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Hydroxy acids and derivatives; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Benzenediols; Cyclic alcohols and derivatives; Alpha hydroxy acids and derivatives; Hydroxycinnamic acids and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Tricarboxylic acids and derivatives; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Cyclitols and derivatives; Quinic acids and derivatives; Cyclohexanols; Cinnamic acid esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Phenoxy compounds; Chemical entities",731.179,278,4.641,766802372604678423,766798203827148618,766798203827148617,2400,
1,C11H10O4,[M + H]+,C11H11O4+,Shikimates and Phenylpropanoids,0.864,Coumarins,0.582,Cinnamic acids and derivatives,0.494,Benzenoids,0.919,Phenols,0.539,,,,,Phenols,0.539,Organic compounds; Phenols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Benzenoids; Methyl esters; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,207.065,282,4.692,766802380250895277,766798172432776623,766798172432776622,1067,
1,C16H18O8,[M + Na]+,C16H18NaO8+,Shikimates and Phenylpropanoids,0.993,Phenylpropanoids (C6-C3),0.999,Cinnamic acids and derivatives,1.000,Phenylpropanoids and polyketides,0.995,Cinnamic acids and derivatives,0.998,Hydroxycinnamic acids and derivatives,0.991,Hydroxycinnamic acid esters,0.989,Coumaric acid esters,0.992,"Organic compounds; Lipids and lipid-like molecules; Styrenes; Coumaric acids and derivatives; Alcohols and polyols; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Coumaric acid esters; Hydroxy acids and derivatives; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Cyclic alcohols and derivatives; Alpha hydroxy acids and derivatives; Hydroxycinnamic acids and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Cyclitols and derivatives; Quinic acids and derivatives; Cyclohexanols; Hydroxycinnamic acid esters; Cinnamic acid esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities",361.090,282,4.696,766802389105071972,766798198156448405,766798198156448404,2155,
1,C17H20O10,[M + Na]+,C17H20NaO10+,Shikimates and Phenylpropanoids,0.932,Phenylpropanoids (C6-C3),0.856,Cinnamic acids and derivatives,0.859,Phenylpropanoids and polyketides,0.871,Cinnamic acids and derivatives,0.834,Hydroxycinnamic acids and derivatives,0.782,Coumaric acids and derivatives,0.821,Coumaric acids and derivatives,0.821,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Styrenes; Coumaric acids and derivatives; Alcohols and polyols; Anisoles; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Hydroxycinnamic acids and derivatives; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Cinnamic acid esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities",407.095,282,4.700,766802385313420823,766798228103785385,766798228103785384,3468,
1,C16H18O7,[M + H]+,C16H19O7+,Shikimates and Phenylpropanoids,0.863,Phenylpropanoids (C6-C3),0.909,Cinnamic acids and derivatives,0.933,Phenylpropanoids and polyketides,0.975,Cinnamic acids and derivatives,0.986,Hydroxycinnamic acids and derivatives,0.978,Hydroxycinnamic acid esters,0.995,Coumaric acid esters,0.996,"Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Styrenes; Coumaric acids and derivatives; Alcohols and polyols; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Coumaric acid esters; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Hydroxycinnamic acids and derivatives; Monosaccharides; Secondary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Hydroxycinnamic acid esters; Cinnamic acid esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities",323.110,282,4.702,766802365570829529,766798226916797098,766798226916797097,3417,
1,C9H6O2,[M + H]+,C9H7O2+,Shikimates and Phenylpropanoids,0.850,Coumarins,0.888,Simple coumarins,0.667,Organoheterocyclic compounds,0.808,Benzopyrans,0.615,1-benzopyrans,0.612,,,1-benzopyrans,0.612,Organic compounds; Organoheterocyclic compounds; Pyrans; Benzopyrans; Organooxygen compounds; Pyranones and derivatives; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,147.044,283,4.710,766802369718996851,766798202816321134,766798202816321133,2355,
1,C18H18O11,[M + H]+,C18H19O11+,Shikimates and Phenylpropanoids,0.975,Phenolic acids (C6-C1),0.931,Simple phenolic acids,0.796,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Carbohydrates and carbohydrate conjugates,0.951,Glycosyl compounds,0.506,Phenolic glycosides,0.656,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Benzoic acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; Chemical entities,411.090,283,4.713,766802389587416967,766798152350445681,766798152350445680,370,
1,C19H25BrN2O5,[M + H]+,C19H26BrN2O5+,Alkaloids,0.593,Ornithine alkaloids,0.846,Polyamines,0.812,Phenylpropanoids and polyketides,0.662,Cinnamic acids and derivatives,0.646,Hydroxycinnamic acids and derivatives,0.545,,,Hydroxycinnamic acids and derivatives,0.545,Organic compounds; Halobenzenes; Styrenes; Alkyl aryl ethers; Phenols; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Cinnamic acids and derivatives; Aryl bromides; Carboxylic acid derivatives; Bromobenzenes; Hydroxycinnamic acids and derivatives; Organobromides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Halophenols; Phenol ethers; Benzenoids; Bromophenols; Cinnamic acid amides; Aryl halides; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Phenoxy compounds; Chemical entities,441.100,284,4.734,766802538304856996,766798172516662718,766798172516662717,1070,
1,C16H16O9,[M + H]+,C16H17O9+,Polyketides,0.637,Coumarins,0.265,Naphthoquinones,0.177,Benzenoids,0.926,Phenols,0.701,1-hydroxy-2-unsubstituted benzenoids,0.629,,,1-hydroxy-2-unsubstituted benzenoids,0.629,Organic compounds; Organoheterocyclic compounds; Pyrans; Alcohols and polyols; Phenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Polyols; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities,353.087,285,4.746,766802706580335362,766798171463892209,766798171463892208,1029,
1,C9H6O3,[M + H]+,C9H7O3+,Shikimates and Phenylpropanoids,0.679,Coumarins,0.671,Naphthoquinones,0.504,Benzenoids,0.980,Phenols,0.668,1-hydroxy-2-unsubstituted benzenoids,0.635,,,1-hydroxy-2-unsubstituted benzenoids,0.635,Organic compounds; Organoheterocyclic compounds; Phenols; Organic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities,163.039,286,4.770,766802385175008753,766798197305004503,766798197305004502,2117,
1,C32H36O18,[M + Na]+,C32H36NaO18+,Shikimates and Phenylpropanoids,0.995,Phenylpropanoids (C6-C3),0.997,Cinnamic acids and derivatives,0.997,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Alcohols and polyols,0.990,Cyclic alcohols and derivatives,0.995,Quinic acids and derivatives,0.997,"Organic compounds; Lipids and lipid-like molecules; Styrenes; Coumaric acids and derivatives; Alkyl aryl ethers; Alcohols and polyols; Phenols; Catechols; Anisoles; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Hydroxy acids and derivatives; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Benzenediols; Cyclic alcohols and derivatives; Alpha hydroxy acids and derivatives; Hydroxycinnamic acids and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Tricarboxylic acids and derivatives; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Cyclitols and derivatives; Quinic acids and derivatives; Cyclohexanols; Cinnamic acid esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Phenoxy compounds; Chemical entities",731.179,287,4.775,766802372055224521,766798235317989855,766798235317989854,3794,
1,C16H18O10,[M + Na]+,C16H18NaO10+,Shikimates and Phenylpropanoids,0.986,Coumarins,0.810,Simple coumarins,0.829,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Carbohydrates and carbohydrate conjugates,0.932,Glycosyl compounds,0.779,Phenolic glycosides,0.783,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Alcohols and polyols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Cinnamic acids and derivatives; Pyranones and derivatives; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; Chemical entities,393.079,287,4.786,766802375297422005,766798204967999556,766798204967999555,2450,
1,C15H12O5,[M + H]+,C15H13O5+,Shikimates and Phenylpropanoids,0.999,Flavonoids,0.989,Flavandiols (Leucoanthocyanidins),0.733,Phenylpropanoids and polyketides,0.982,Flavonoids,0.974,Hydroxyflavonoids,0.972,3'-hydroxyflavonoids,0.717,3'-hydroxyflavonoids,0.717,Organic compounds; Organoheterocyclic compounds; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Ethers; Phenylpropanoids and polyketides; Organooxygen compounds; Flavonoids; Flavans; Secondary alcohols; Benzene and substituted derivatives; Polyols; Benzenoids; 3-hydroxyflavonoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; Flavan-3-ols; 1-benzopyrans; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities,273.076,287,4.790,766802448504806524,766798221757802043,766798221757802042,3182,
1,C32H36O20,[M + Na]+,C32H36NaO20+,Shikimates and Phenylpropanoids,0.999,Flavonoids,0.993,Flavones,0.870,Phenylpropanoids and polyketides,0.999,Flavonoids,0.961,Flavonoid glycosides,0.962,Flavonoid O-glycosides,0.844,Flavonoid O-glucuronides,0.706,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Styrenes; Coumaric acids and derivatives; Pyrans; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Catechols; Anisoles; Chromones; Methoxyphenols; Sugar acids and derivatives; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Flavonoids; Glucuronides; Cinnamic acids and derivatives; Pyranones and derivatives; Carboxylic acid derivatives; Flavonoid glycosides; Carboxylic acids; Carboxylic acid esters; Benzenediols; Hydroxycinnamic acids and derivatives; Disaccharides; Flavonoid O-glycosides; Flavones; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glucuronic acid derivatives; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; O-glucuronides; 3'-hydroxyflavonoids; Flavonoid O-glucuronides; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Cinnamic acid esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Vinylogous acids; Fatty Acyls; Organic oxides; Methoxybenzenes; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Phenoxy compounds; Chemical entities",763.169,288,4.793,766802449792457933,766798240271463969,766798240271463968,4014,
1,C14H18N4O2,[M + H]+,C14H19N4O2+,Amino acids and Peptides,0.937,Phenylpropanoids (C6-C3),0.669,Cinnamic acid amides,0.677,Organic acids and derivatives,0.995,Carboxylic acids and derivatives,0.987,"Amino acids, peptides, and analogues",0.882,Amino acids and derivatives,0.876,Alpha amino acid amides,0.620,"Organic compounds; Amino acids, peptides, and analogues; Styrenes; Alpha amino acids and derivatives; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Carboxylic acid amides; Cinnamic acids and derivatives; Carboxylic acid derivatives; Hydroxycinnamic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Cinnamic acid amides; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",275.150,288,4.800,766802450643901876,766798188660542129,766798188660542128,1737,
1,C19H22Cl2,[M + H]+,C19H23Cl2+,Terpenoids,0.925,Sesquiterpenoids,0.244,Hapalindole alkaloids,0.014,Benzenoids,0.943,Benzene and substituted derivatives,0.710,Halobenzenes,0.594,,,Halobenzenes,0.594,Organic compounds; Lipids and lipid-like molecules; Halobenzenes; Prenol lipids; Organohalogen compounds; Alkyl chlorides; Organochlorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Alkyl halides; Hydrocarbon derivatives; Chemical entities,321.118,288,4.800,766802454762708873,766798243706599710,766798243706599709,4167,
1,C15H20O10,[M + Na]+,C15H20NaO10+,Shikimates and Phenylpropanoids,0.554,Monoterpenoids,0.379,Cinnamic acids and derivatives,0.243,Phenylpropanoids and polyketides,0.778,Cinnamic acids and derivatives,0.821,Hydroxycinnamic acids and derivatives,0.808,Coumaric acids and derivatives,0.819,Coumaric acids and derivatives,0.819,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Styrenes; Coumaric acids and derivatives; Alcohols and polyols; Phenols; Catechols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Cinnamic acids and derivatives; Monocarboxylic acids and derivatives; Benzenediols; Hydroxycinnamic acids and derivatives; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Cinnamic acid esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities",383.095,288,4.805,766802425356442217,766798164622981130,766798164622981129,769,
1,C16H20NO7,[M + Na]+,C16H20NNaO7+,Alkaloids,0.427,Tyrosine alkaloids,0.695,Phenylethylamines,0.305,Benzenoids,0.959,Phenols,0.740,Benzenediols,0.738,Catechols,0.823,Catechols,0.823,Organic compounds; Alcohols and polyols; Phenols; Catechols; Ethers; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Benzenediols; Secondary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities,361.111,288,4.807,766802596542768818,766798191017741462,766798191017741461,1843,
1,C16H16O9,[M + H]+,C16H17O9+,Shikimates and Phenylpropanoids,0.985,Phenylpropanoids (C6-C3),0.928,Cinnamic acids and derivatives,0.901,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Alcohols and polyols,0.940,Cyclic alcohols and derivatives,0.904,Quinic acids and derivatives,0.899,Organic compounds; Coumaric acids and derivatives; Alcohols and polyols; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Cyclic alcohols and derivatives; Hydroxycinnamic acids and derivatives; Secondary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Cyclitols and derivatives; Quinic acids and derivatives; Cyclohexanols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities,353.085,289,4.814,766802407664867676,766798219400602695,766798219396408390,3079,
1,C21H28O14,[M + Na]+,C21H28NaO14+,Shikimates and Phenylpropanoids,0.380,Saccharides,0.417,Secoiridoid monoterpenoids,0.453,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Carbohydrates and carbohydrate conjugates,0.994,Disaccharides,0.589,Disaccharides,0.589,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Disaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,527.137,289,4.821,766802428976126893,766798228191865789,766798228191865788,3472,
1,C9H8O4,[M + H]+,C9H9O4+,Shikimates and Phenylpropanoids,0.952,Phenylpropanoids (C6-C3),0.885,Cinnamic acids and derivatives,0.874,Phenylpropanoids and polyketides,0.611,Cinnamic acids and derivatives,0.564,Hydroxycinnamic acids and derivatives,0.637,Coumaric acids and derivatives,0.611,Coumaric acids and derivatives,0.611,Organic compounds; Styrenes; Coumaric acids and derivatives; Phenols; Catechols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Cinnamic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Benzenediols; Hydroxycinnamic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Hydroxycinnamic acids; Cinnamic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities,181.050,291,4.844,766802452401315425,766798230708448734,766798230704254429,3583,
1,C3H7ClN4,[M + H]+,C3H8ClN4+,Alkaloids,0.796,Histidine alkaloids,0.201,Imidazole alkaloids,0.198,Organohalogen compounds,0.989,Aryl halides,0.883,Aryl chlorides,0.877,,,Aryl chlorides,0.877,Organic compounds; Organoheterocyclic compounds; Hydrazines and derivatives; Organohalogen compounds; Organonitrogen compounds; Aryl chlorides; Organochlorides; Aryl halides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities,135.044,293,4.882,766802453898682186,766798230968495637,766798230968495636,3595,
1,C31H34N4O9S,[M + Na]+,C31H34N4NaO9S+,Alkaloids,0.518,Tryptophan alkaloids,0.139,Carboline alkaloids,0.085,Benzenoids,0.915,Benzene and substituted derivatives,0.799,Benzoic acids and derivatives,0.542,,,Benzoic acids and derivatives,0.542,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Anisoles; Benzoic acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Thioethers; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Sulfenyl compounds; Dialkylthioethers; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,661.195,293,4.891,766802515932439008,766798233187282953,766798233187282952,3698,
1,C22H23N5O8,[M + H]+,C22H24N5O8+,Carbohydrates,0.770,Nucleosides,0.785,Purine alkaloids,0.619,"Nucleosides, nucleotides, and analogues",0.764,Purine nucleosides,0.536,,,,,Purine nucleosides,0.536,"Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Alkyl aryl ethers; Anisoles; Purines and purine derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Azoles; Carboxylic acid amides; Purine nucleosides; Carboxylic acid derivatives; Diazines; 6-oxopurines; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Phenol ethers; Benzenoids; Amines; Vinylogous amides; Organic oxides; Methoxybenzenes; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities",486.159,294,4.902,766802535679222644,766798213646016382,766798213646016381,2830,
1,C18H30O11,[M + H]+,C18H31O11+,Fatty acids,0.845,Fatty acyl glycosides,0.913,Fatty acyl glycosides of mono- and disaccharides,0.796,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Carbohydrates and carbohydrate conjugates,0.982,Disaccharides,0.549,Disaccharides,0.549,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Monocarboxylic acids and derivatives; Disaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,423.184,297,4.944,766802781700321811,766798214027698126,766798214027698125,2847,
1,C10H7NO3,[M + H]+,C10H8NO3+,Alkaloids,0.997,Anthranilic acid alkaloids,0.990,Acridone alkaloids,0.504,Organoheterocyclic compounds,0.998,Quinolines and derivatives,0.992,Quinoline carboxylic acids,0.971,,,Quinoline carboxylic acids,0.971,Organic compounds; Organoheterocyclic compounds; Quinolones and derivatives; Pyridines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Quinolines and derivatives; Pyridinecarboxylic acids and derivatives; Hydroquinolines; Hydroquinolones; Pyridinecarboxylic acids; Benzenoids; Quinoline carboxylic acids; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,190.050,297,4.947,766803485898802256,766798199586706374,766798199586706373,2214,
